NAME,WAR,FIP,LOB,BABIP,SALARY(2018),SALARY(2019),SALARY(2020)
강동연,0.03,6.34,0.72,0.22,2800,2800,3400
강윤구,0.06,4.97,0.66,0.26,8500,8500,15500
고우석,1.5,4.24,0.72,0.21,4000,4000,22000
구승민,1.09,4.64,0.73,0.22,3400,3400,8000
구창모,3.07,4.07,0.8,0.21,5700,5700,18000
권혁,-0.12,4.21,0.54,0.26,45000,45000,19000
금민철,0.52,5.61,0.64,0.32,8000,8000,15000
김건국,0.69,3.92,0.76,0.24,2700,2700,5400
김대현,-0.16,5.53,0.66,0.25,7000,7000,12000
김민,0.12,5.87,0.67,0.23,2700,2700,7500
김민규,0.21,10.09,0.65,0.27,2700,2700,2900
김민수,-0.14,4.91,0.61,0.3,3300,3300,4300
김민우,0.32,5.33,0.64,0.24,3600,3600,4200
김범수,0.18,5.79,0.71,0.24,3600,3600,6500
김상수,0.94,3.99,0.7,0.24,16500,16500,16500
김선기,0.21,5.37,0.71,0.22,2700,2700,2700
김성민,0.41,4.26,0.66,0.26,5500,5500,5500
김성훈,0.31,4.93,0.78,0.21,2700,4700,4700
김세현,0,5.47,0.65,0.17,29000,29000,12000
김원중,0.41,5.1,0.68,0.24,6300,6300,10000
김재윤,1.75,3.92,0.78,0.22,11000,11000,12000
김정후,0.1,6.94,0.85,0.22,3500,3500,3500
김종수,0.13,5.89,0.88,0.19,2700,2700,3800
김진성,0.41,4.93,0.69,0.23,23000,23000,16000
김진영,0.56,4.52,0.64,0.24,3000,3000,3200
김진욱,0.12,7.29,0.81,0.15,2700,2700,2900
노성호,-0.06,6.38,0.61,0.25,4500,4500,4000
류희운,0.05,5.63,0.57,0.33,4000,4000,3500
문경찬,1.38,4.39,0.81,0.15,3100,3100,3100
문광은,0,7,0.63,0.28,4500,4500,7500
박상원,1.33,4.34,0.75,0.23,3100,3100,11000
박세웅,0.59,5.19,0.66,0.27,25000,25000,11000
박시영,0.11,5.92,0.61,0.22,6300,6300,7900
박정수,-0.01,5.53,0.55,0.18,3300,3300,3300
박주홍,-0.57,6.65,0.6,0.26,2700,2700,3500
박준표,1.59,3.9,0.85,0.12,4500,4500,11000
박진우,1.52,4.3,0.71,0.22,2700,2700,16000
박진형,0.26,4.52,0.71,0.3,10500,10500,9000
박치국,1.17,4.09,0.74,0.25,3400,3400,8000
배재환,0.72,5.37,0.78,0.23,3000,3000,10500
배제성,1.56,4.22,0.74,0.2,3000,3000,11000
서균,0.09,5.73,0.69,0.26,3000,3000,4500
송은범,1.35,4.55,0.74,0.24,45000,45000,27000
신재영,-0.1,7.37,0.68,0.27,14000,14000,14000
신정락,0.1,4.97,0.63,0.27,10500,10500,12000
안영명,0.64,5.07,0.71,0.26,35000,35000,35000
안우진,0.31,4.53,0.67,0.23,2700,2700,2700
양현,1.29,4.41,0.79,0.21,3000,3000,3000
양현종,4.96,3.54,0.71,0.16,230000,230000,230000
여건욱,0.08,5.01,0.67,0.25,4000,4000,7000
오주원,0.59,4.72,0.7,0.23,15000,15000,15000
오현택,0.87,6.24,0.83,0.2,6000,6000,6000
원종현,0.74,4.19,0.67,0.25,18500,18500,26000
윌슨,3.62,3.65,0.7,0.23,80000,80000,110000
유원상,0.3,5.09,0.63,0.22,6000,6000,4000
유희관,1.19,4.87,0.68,0.25,50000,50000,47000
윤강민,-0.21,8.3,0.44,0.44,2700,2700,2700
윤규진,-0.01,4.91,0.45,0.28,21000,21000,17000
이민우,-0.31,4.99,0.61,0.18,3500,3500,4300
이민호,0.63,5.21,0.69,0.23,18800,18800,2700
이보근,0.54,3.81,0.61,0.26,14000,14000,20000
이승호,0.75,5.26,0.69,0.23,2700,2700,2700
이영준,0.38,4.76,0.65,0.31,2900,2900,2900
이영하,2.15,4.7,0.69,0.23,4200,4200,27000
이용찬,1.57,5.13,0.69,0.25,23500,23500,42000
이우찬,-0.07,12.45,0.6,0.35,3000,3000,7500
이재학,1.28,4.71,0.67,0.23,19000,19000,27500
이태양,0.97,4.13,0.69,0.24,7300,7300,7300
이현승,0.25,3.8,0.63,0.24,40000,40000,40000
이현호,0.09,5.71,0.7,0.31,5200,5200,4500
이형범,0.41,5.65,0.68,0.22,3500,3500,14200
임기영,0.47,5.05,0.68,0.18,13000,13000,7000
임준섭,-0.07,5.53,0.65,0.29,6000,6000,8800
임찬규,0.68,4.91,0.7,0.24,11500,11500,13500
임창민,0.04,4.82,0.67,0.24,25000,25000,16000
장민재,0.37,4.51,0.65,0.26,7100,7100,11000
장시환,1.02,4.82,0.69,0.25,8500,8500,11000
장원삼,-0.19,5.68,0.58,0.25,20000,20000,3000
장원준,-0.89,7.76,0.6,0.25,100000,100000,30000
장지훈,-0.39,5.15,0.68,0.26,2800,2800,3000
장현식,-0.13,6.24,0.63,0.23,6400,6400,6400
전상현,1.14,3.79,0.73,0.14,2700,2700,7600
전유수,0.54,4.56,0.7,0.24,8500,8500,10000
정수민,0.1,5.73,0.66,0.25,4200,4200,4200
정우람,2.35,3.56,0.78,0.24,120000,120000,80000
정찬헌,0.9,3.91,0.72,0.26,9500,9500,13000
정태승,-0.1,7.04,0.29,0.39,2700,2700,2800
조상우,1.59,3.09,0.74,0.25,12000,12000,12000
조성운,0.06,5.03,0.64,0.27,2700,2700,2700
주권,1.24,5.03,0.7,0.2,7600,7600,15000
진명호,1.01,4.79,0.7,0.22,3300,3300,12500
진해수,0.28,4.07,0.69,0.27,19000,19000,25000
차우찬,0.7,5.12,0.68,0.24,100000,100000,100000
최동환,0.58,5.33,0.71,0.21,6500,6500,7000
최성영,0.57,5.73,0.69,0.22,2900,2900,9500
최원준,1.24,5.03,0.67,0.27,7500,7500,7000
최원태,2.44,4.25,0.69,0.23,15000,15000,15000
켈리,4.03,3.98,0.73,0.22,85000,90000,90000
홍건희,-0.33,6.05,0.58,0.15,8000,8000,8000
홍상삼,0.41,6.04,0.78,0.21,9000,9000,4000
홍성민,0.5,4.46,0.66,0.24,12000,12000,10000
황인준,0.36,6.21,0.77,0.18,2800,2800,3700
